Extreme Road Trip 2,Your gas pedal is stuck AGAIN! Do stunts to get nitro boost and SLAM it all down to unlock the insane speed of OVERDRIVE! Collect coins to unlock new cars as you play! Complete missions and get rewards!It’s bigger faster and still FREE!The game features awesome music by Jimmy "Big Giant Circles" Hinson (of "Mass Effect 2" fame) and is frequently updated with more content.== Features ==* Extremely fast and addictive gameplay* Unlock cars as you progress* 96 cars with more to come* Complete missions to get rewards and master every car* Flips wheelies close calls slams and other new stunts* Race against your friends’ replays* Huge gratifying explosions* Drive in 11 exciting locations* Use all-new power-ups like the coin magnet* Addictive music that makes your blood pump* Game Center Challenges Achievements and Leaderboards* Universal (great on any iOS device!)* Amazing on the new iPhone 6* Free!If you’re into free awesome things that are fun this is a game you should download!
Dish Align,Dish Align is a simple yet powerful app for alignment of the satellite dish. It allows you to select exact location of the dish and requested satellite them shows you you can align the dish to get proper signals.It has a built-in compass specially designed to simulate the dish as your iPhone so you will get the exact direction of the dish to be pointed.As of version 1.2 Dish Align supports dynamic satellite list. If changes need to be done to satellite list or a satellite positioned incorrectly drop us a line in Feedback section.There is a small ad at the bottom of page which keeps the production going and make the app free. However if you don't like it upgrade to No Ad version and all advertisements will be gone.
News 12 Mobile,News 12 is the exclusive 24-hour news network dedicated to covering local news within the New York tri-state area. This app is available for free to Optimum customers & subscribers that receive News 12 on Comcast Time Warner and Service Electric cable systems.With the app you will receive: LIVE streaming of all News 12 and News 12 Traffic & Weather channels Up-to-the-minute local news weather traffic and more serving Long Island the Bronx Brooklyn southwestern Connecticut Hudson Valley (Rockland and Orange counties) New Jersey and WestchesterLocal breaking news information pushed directly to your deviceLocal weather alerts weather forecasts current temperatures and storm coverage Access to more than 800 traffic cameras and traffic flow data for each regionLocal school closingsNational and international news business news sports and entertainment news from Associated PressRegional polls and “question of the day”Access social media directly for comments feedback and sharingAbility to upload photos and videos for potential use on News 12 *Don’t have an Optimum ID? You can create one by clicking the following link while using your Optimum Online modem. https://idcenter.services.optimum.net/Services/Process/ID/SignInByAccountNumber
Free WiFi Finder,The app will help you find FREE WiFi hotspots in more than 50 countries around the world: Argentina Australia Austria Belgium Brazil Bulgaria Canada Chile China Colombia Croatia Czech Republic Denmark Egypt Finland France Germany Greece Hong Kong Hungary India Indonesia Ireland Israel Italy Japan Luxembourg Malaysia Mexico Netherlands New Zealand Norway Philippines Poland Portugal Romania Russia Serbia Singapore South Africa South Korea Spain Sweden Switzerland Taiwan Thailand Turkey UK Ukraine United_States Vietnam.The most exciting thing about the app is that you don't need to be connected to Internet to find the nearest hotspot -- all the hotspots are stored locally on you device.Try it and it will work! ... and please add new FREE Wi-Fi hotspots if you know one in your heighbourhood.
Prize Claw,Welcome to Prize Claw from the makers of the smash-hit free casual game Coin Dozer!For years you've been going to the arcade carnival or theme park trading cash for the chance to grab toys and candy with a motorized claw.  Claw games are filled with tense moments of maneuvering the crane into place wondering if you’re lucky enough to get that toy coupled with the triumph of your prize dropping through the slot! Prize Claw recreates that happy experience for women and men of all ages – no trip to the casino to play the slots needed – on your iPhone while adding many exciting new features!  Step up to the machine and maneuver the claw to grab coins gems a stuffed animal cars dolls and much more!  This game is much more than the standard grabbing you get from arcade crane machines however: Prize Claw is filled with all sorts of unique items powerful effects and challenging missions.  Special gems grant an effect to enhance your collection power and you can trade the prizes you collect for extra special bonuses.  Prizes aren't the only thing you can trade in: the coins you collect can be spent to upgrade your claw activate new powers and even customize your machine! If you run out of grabs don't fret! It won't take long before you receive more. Keep checking back to complete your collection increase your skill with the grabber reach a higher level and unlock more stuff! Features:• More than 60 prizes to collect – toy cars a stuffed mouse and much more!• Multiple machines to play on with different prizes powers and looks!• A special puzzle to complete for each machine!• New 3D graphics with customizable machines claws and joysticks!• Simple to play but with tons of challenging missions to earn a bonus prize!• Earn extra bonuses for playing every day!• Huge variety of bonuses and effects!Stay tuned for future updates!Prize Claw is also available on the iPad!Also try out the other Game Circus titles like COIN DOZER and PAPLINKO!
Future baby's face,A fun app to generate your future baby's head ! First thing you need to give us a picture of the parents ... and the app will do the rest. Try it with your love or with the head of a celebrity. It's so easy to use and so fun to share with anyone on Facebook Twitter Email MMS etc.
Emoticons & Captions Collage – Beautiful Sticker Text on Photo Editor,*********************************Free for a very limited time!*********************************Why don't you send texts with photo attached! *****This app gives you endless possibilities! You can add Colorful texts Hilarious emoticons on the pictures and astonish your friends!*****With it your photos can be the most eye-catching in your social streams. There are more than 300 funny emoticons with various styles: cute emoji creepy emoji nature images. And excitingly we have Merry Christmas Images!!!There are hundreds of font styles and as many as 66 font colors for you to better express yourself.There are also 40 special fonts to to help you create the coolest texts on pictures.It's important that you learn to express yourself.Sometimes all the things you want to say can find no voice. Then create a coolest photos with colorful texts and funny emoticons. It's the best way to say things that matches your feelings.Let's say it like you mean it. Some awesome features:+ You can select a photo from camera album or take a new photo.+ More than 300 funny emoticons with various styles to match your different feelings.+ More than 60 font colors and hundreds of fonts styles to better express yourself.+ You can easily move emoticons or captions by simple touch and drag. + You can easily delete emoticons or captions by simple touch and tap.+ You can share it via Email Facebook or Twitter and astonish your friends.
ReverbNation for Artists,Download the official ReverbNation for Artists App. Now you can update your ReverbNation artist account from your iPhone iPad or iPod touch. You can Manage Your Shows Update Your Status Check Your Stats Collect Fan Emails and send FanReach Emails from Anywhere.Manage your ShowsReverbNation for Artists App lets you add new shows and manage existing ones right from your mobile device! We even let you report attendance of your shows after they're over. Booking and keeping track of gigs has never been easier.Update Your StatusThe app lets you post status updates to ReverbNation Twitter and Facebook.Check Your StatsWith the app you can track your Band Equity see Fan stats like Fan Count and Fan Heat Map and also see how often fans are listening to your songs and watching your videos.Collect Fan Emails and Send FanReach Emails from AnywhereThe ReverbNation for Artists App is deeply integrated with our signature FanReach email system. This app allows you to send emails directly to fans see the statistics on the emails you sent and add fans directly to your FanReach email list. That’s right - no more clipboards and pens at shows to collect fan emails. Download the ReverbNation for Artist's App and you can instantly start collecting fan information on your iPhone iPad or iPod touch.
Earthquakes! - Earthquake Map and Alerts,Earthquake Map and Alerts will let you know when the next tremor hits! Set alerts for your area based on distance and strength to receive notifications on your phone. You can also view earthquakes that have already occurred in a list view organized by magnitude. With map view you can find quakes closest to you and see details such as distance from you start time and magnitude.Privacy Policy: http://earthquakemonitoringalerts.tumblr.com/post/21282739677/privacy-policy
Baby Maker Predictor FREE,If you want to predict whether you will have a baby or not the first way to find that out is Baby Maker Predictor.As nowadays everything is possible we offer you a simple easy to use app that you can use anywhere and anytime which is very simple:just enter the date of your most recent period hit calculate and scroll through the days until you see when a baby is likely possible girl or possible boy or no baby.Baby Maker Predictor is an easy cool way to find out if your desire to have a baby will happen or not :).Download it today while it is FREE!!!FEEDBACK & SUGGESTIONSWe love to hear from our users. You might have a suggestion for a feature or you might like to report an issue you faced. Please email us at catea.cojocaru.apps@gmail.com
